Time,X,Y,Angle
0.0,0.0,-0.0,-0.004861567973552375
0.01,0.0033999359837322113,-1.7848178998208145e-05,-0.005638794316080066
0.02,0.0067909725597790896,-3.8290051114408775e-05,-0.006420403814890169
0.03,0.010173134828995109,-6.132409328639041e-05,-0.007206415979062435
0.04,0.013546447842545387,-8.694878721813804e-05,-0.007996850347577009
0.05,0.016910936601957516,-0.0001151626193661636,-0.008791726488406757
0.06,0.020266626059173433,-0.00014596408092583683,-0.009591063997591742
0.07,0.02361354111660132,-0.00017935166781771607,-0.010394882498295656
0.08,0.026951706627167386,-0.00021532388067387845,-0.011203201639843955
0.09,0.030281147394367762,-0.0002538792248242512,-0.012016041096743585
0.1,0.033601888172320384,-0.00029501621028294226,-0.012833420567683981
0.11,0.036913953665816804,-0.00033873335173457004,-0.013655359774519185
0.12,0.04021736853037408,-0.00038502916852059554,-0.014481878461230889
0.13,0.04351215737228658,-0.00043390218462565196,-0.015312996392872171
0.14,0.04679834474867792,-0.0004853509286638756,-0.016148733354491664
0.15,0.05007595516755277,-0.0005393739338652369,-0.016989109150038043
0.16,0.053345013087848746,-0.000595969738061871,-0.01783414360124459
0.17,0.05660554291948817,-0.0006551368836744079,-0.01868385654649351
0.18,0.0598575690234301,-0.0007168739176983042,-0.019538267839659975
0.19,0.06310111571172206,-0.0007811793916901729,-0.020397397348935562
0.2,0.0663362072475518,-0.000848051861754114,-0.021261264955630858
0.21,0.06956286784529944,-0.0009174898885280449,-0.022129890552957075
0.22,0.07278112167058913,-0.000989492037170034,-0.02300329404478653
0.23,0.08063092477884821,-0.001176736406453516,-0.025163577680440138
0.24,0.08870035976690067,-0.0013866459238809873,-0.027429408547056833
0.25,0.09671668899720504,-0.0016129799611210396,-0.02972671258288252
0.26,0.10468030006286616,-0.0018557157040250793,-0.032055814681413844
0.27,0.11259157856357765,-0.0021148305197684725,-0.034417039642584725
0.28,0.12045090811105179,-0.002390301955419231,-0.036810712016318026
0.29,0.1282586703344492,-0.002682107736506708,-0.03923715593971223
0.3,0.13601524488580927,-0.0029902257655902847,-0.04169669496772413
0.31,0.1443978586712925,-0.0033440117291618295,-0.044411022930685704
0.32,0.15479263464227547,-0.0038133441928162614,-0.047860334973414666
0.33,0.16509509482726914,-0.004312719883866145,-0.051372932512707484
0.34,0.17530617187501765,-0.004842085202821964,-0.05494961698777838
0.35000000000000003,0.18542679177372223,-0.005401387127780387,-0.05859118401078999
0.36,0.19545787387632735,-0.0059905732077591665,-0.06229842234980185
0.37,0.20540033092580573,-0.006609591556031977,-0.06607211286417498
0.38,0.21722484069629153,-0.007392353820601363,-0.0706930252479294
0.39,0.22927119389382714,-0.008243245057974885,-0.07555438572940956
0.4,0.24118671486673934,-0.009139499220497506,-0.08052137508271466
0.41000000000000003,0.2529730738270634,-0.010081022860310884,-0.08559537402333095
0.42,0.2646319258587788,-0.011067723761127269,-0.09077772843347398
0.43,0.2775787277130739,-0.01222988851685927,-0.09673011188920087
0.44,0.2910340408565336,-0.013514166403910611,-0.10314537427698013
0.45,0.30431866950518904,-0.01486116151912756,-0.10971784843959294
0.46,0.31743523927905964,-0.016270730094464437,-0.1164494206200406
0.47000000000000003,0.33097180160080364,-0.01781119780198373,-0.1236593602072247
0.48,0.34566199290063143,-0.01958501137010802,-0.13179865829491122
0.49,0.36014059265104637,-0.02144105853123308,-0.14015540752382696
0.5,0.374411413856674,-0.02337913418014088,-0.14873159812032616
0.51,0.38938029450931533,-0.025532373749032455,-0.15810505144603113
0.52,0.4050107703934175,-0.027917518257645664,-0.1683236781138961
0.53,0.42039137778837193,-0.030406468221188927,-0.17882754944220638
0.54,0.4356338985766151,-0.03301772243541392,-0.1896950579141256
0.55,0.45131965299291216,-0.03586152077485739,-0.2013744617422999
0.56,0.4667454311224291,-0.038819625675096316,-0.21337066543740785
0.5700000000000001,0.4819170294452428,-0.041891733557304425,-0.22568193759966293
0.58,0.49663399993327617,-0.04503239873363947,-0.2381275874498282
0.59,0.5111009865154659,-0.04828017627420844,-0.25086088775719484
0.6,0.5253374818447403,-0.05163774726219794,-0.2638888811287535
0.61,0.5391659507919323,-0.055058559703954416,-0.27702882893438846
0.62,0.5526998919895558,-0.058564572336288624,-0.2903630870942626
0.63,0.5660266105664727,-0.062175488966584966,-0.30396095825154756
0.64,0.5790746693787382,-0.0658690526315829,-0.3177319430389701
0.65,0.5918072970059892,-0.06962970266115484,-0.33161231069853986
0.66,0.6043522168190869,-0.07349140512591787,-0.3457195824386519
0.67,0.616710101109401,-0.07745276934858765,-0.36003790428519944
0.68,0.6287616761933589,-0.0814714578738991,-0.37440499243141423
0.6900000000000001,0.640641790141621,-0.08558838573900111,-0.3889570209885441
0.7000000000000001,0.6523543521386823,-0.08980334571987207,-0.4036797895477163
0.71,0.6638602123151979,-0.09409978246621592,-0.4185021636564696
0.72,0.6751826570706835,-0.09848339035957872,-0.43343040092872903
0.73,0.6863507012913804,-0.10296327185587859,-0.4484804140148589
0.74,0.6973663482523225,-0.10753856163033577,-0.46363296224738737
0.75,0.7082291151553449,-0.1122072437307696,-0.47886462807714375
0.76,0.718948253409436,-0.11697149045035524,-0.4941652268088601
0.77,0.7295271630151454,-0.12183111120034971,-0.5095162976729254
0.78,0.7399882927080426,-0.12679513012431384,-0.524927444554882
0.79,0.7503200482162131,-0.13185684358431382,-0.5403584985354708
0.8,0.7605208337100953,-0.13701380208048553,-0.555783256493521
0.81,0.7706343829396461,-0.1422872842565449,-0.5712449399382349
0.8200000000000001,0.7806847836382191,-0.14769051729162241,-0.5867587919785787
0.8300000000000001,0.7906111153051795,-0.1531904043909851,-0.6022081114830273
0.84,0.8004193721973464,-0.15878842283904057,-0.6175785830599432
0.85,0.8102841794949303,-0.16458683958644954,-0.6331228860559714
0.86,0.8200298612720183,-0.17048490107418815,-0.6485429231427651
0.87,0.8296595196947941,-0.17648240354718567,-0.6638206865357155
0.88,0.8393154241552777,-0.18266960806925528,-0.679160220664947
0.89,0.8489163323337287,-0.18899768894884375,-0.6944110230326415
0.9,0.8584057386307059,-0.19542877170398493,-0.709462184310725
0.91,0.867895852534713,-0.20203971635481224,-0.7244708979889235
0.92,0.8774061387823947,-0.20884858320246244,-0.7394465324166521
0.93,0.8868086676558055,-0.2157650858102509,-0.7541677079482467
0.9400000000000001,0.8961868764877572,-0.22285049562605713,-0.7687464715820487
0.9500000000000001,0.9056535749049062,-0.23019577033949695,-0.7833368305566083
0.96,0.91501573265501,-0.23765437829173663,-0.7976220230339637
0.97,0.9243435185083292,-0.245281558965829,-0.8116935394987621
0.98,0.9338071593292179,-0.253223398678543,-0.825787074844093
0.99,0.94316918254268,-0.26128531411545974,-0.8395304805454064
1.0,0.9525139688630602,-0.269539578244023,-0.8530349129007174
1.01,0.9620093713812361,-0.278142439004286,-0.8665224498267865
1.02,0.9714060019923132,-0.2868731332000531,-0.879622216075091
1.03,0.9808390706561156,-0.29585846492032836,-0.8925115431664203
