Time,X,Y,Angle
0.0,0.0,-0.0,-0.0019090605977644336
0.01,0.0037160235351229964,-7.80105387602367e-06,-0.002290398954344466
0.02,0.007426591945207444,-1.7011215676678763e-05,-0.00267555286922819
0.03,0.011131704864560112,-2.7638948815162413e-05,-0.0030645334475855285
0.04,0.014831361949607538,-3.969268264468384e-05,-0.003457351838356148
0.05,0.018525562878867082,-5.3180812499564925e-05,-0.0038540192342866385
0.06,0.0222143073529179,-6.81116997363407e-05,-0.004254546871964927
0.07,0.025897595094372033,-8.449367177485996e-05,-0.004658946031851848
0.08,0.02957542584784542,-0.00010233502213938587,-0.005067228038309872
0.09,0.03324779937992891,-0.00012164401049969645,-0.005479404259628863
0.1,0.03691471547915929,-0.00014242886271218503,-0.005895486108048896
0.11,0.04057617395599033,-0.00016469777086096108,-0.006315485039779996
0.12,0.04423217464276385,-0.0001884588932989506,-0.006739412555018798
0.13,0.04788271739368064,-0.0002137203546889965,-0.007167280197962048
0.14,0.05152780208477159,-0.00024049024604495958,-0.007599099556816905
0.15,0.05516742861386873,-0.0002687766247728189,-0.008034882263807937
0.16,0.058801596900576146,-0.00029858751471177207,-0.008474639995180841
0.17,0.062430306886241106,-0.0003299309061753359,-0.008918384471202705
0.18,0.06605355853392512,-0.0003628147559924478,-0.00936612745615888
0.19,0.06967135182837476,-0.0003972469875485647,-0.009817880758346307
0.2,0.07328368677599308,-0.0004332354908267652,-0.010273656230063271
0.21,0.0768905634048102,-0.00047078812244884943,-0.010733465767595495
0.22,0.08049198176445461,-0.0005099127057164391,-0.01119732131119859
0.23,0.08408794192612418,-0.0005506170306520792,-0.011665234845076653
0.24,0.08767844398255709,-0.0005929088540403375,-0.012137218397357099
0.25,0.09473777093259882,-0.000680923683062707,-0.013079249608383844
0.26,0.10363350069438942,-0.0008011722595488225,-0.014293225782325973
0.27,0.11249535039448726,-0.0009315358421039215,-0.015532882705603102
0.28,0.12132332385566637,-0.001072130733041545,-0.016798411320168866
0.29,0.13011742572093588,-0.0012230719677638064,-0.01809000424505049
0.3,0.13887766145075814,-0.0013844733187085203,-0.019407855769559168
0.31,0.14760403732026572,-0.0015564472992963306,-0.020752161845367437
0.32,0.15629656041647982,-0.0017391051678778426,-0.022123120077406563
0.33,0.16495523863552788,-0.0019325569316807534,-0.023520929713535393
0.34,0.17358008067986108,-0.002136911350756977,-0.024945791632930685
0.35000000000000003,0.18474368666452565,-0.002419097468973622,-0.026839212206421558
0.36,0.19620458644009028,-0.0027300768144700193,-0.028842008850020605
0.37,0.20760463363835588,-0.0030613805346877757,-0.030894854931715936
0.38,0.21894385856518475,-0.0034132570212128503,-0.03299825423184313
0.39,0.23022229408640144,-0.00378595069911807,-0.03515271549697796
0.4,0.2414399756156909,-0.00417970204413283,-0.03735875234267455
0.41000000000000003,0.25259694110249514,-0.0045947475998127625,-0.03961688314596533
0.42,0.2651571274218805,-0.005090719415906426,-0.04223739672320608
0.43,0.2786276468282582,-0.005657441561858222,-0.045142638240194446
0.44,0.29200767763634977,-0.006257118718243087,-0.048128352890047424
0.45,0.30529730954861556,-0.0068901511341481255,-0.051195523104710844
0.46,0.31849663777635806,-0.0075569304962727814,-0.05434514012903057
0.47000000000000003,0.33160576300670797,-0.008257839975766844,-0.05757820350269121
0.48,0.3460334244500246,-0.00907522375560314,-0.061261177755337196
0.49,0.3611469864039834,-0.009984843088181148,-0.06526406237990667
0.5,0.376137460090116,-0.010942866462857973,-0.06938584303644861
0.51,0.39100504470121306,-0.011949849697809833,-0.07362816906116186
0.52,0.40574994937234604,-0.01300633310373461,-0.07799269831253602
0.53,0.4214983932055634,-0.01420053309931718,-0.08283349767550525
0.54,0.4380303776909087,-0.015529949035704954,-0.08812191822284067
0.55,0.45440345963341416,-0.01692600001452236,-0.09357658247726994
0.56,0.470618012351394,-0.018389392573138083,-0.09919997465538011
0.5700000000000001,0.4868219402025597,-0.01993526654841042,-0.1050488794811531
0.58,0.5043915456391198,-0.021709363967764846,-0.11166050698404886
0.59,0.521768858638292,-0.023568295697179182,-0.11848782021434785
0.6,0.5389544741200981,-0.025512875705252663,-0.1255340835271527
0.61,0.5559742514771538,-0.02754697985280207,-0.13281353309583901
0.62,0.573234719015085,-0.029724415545144118,-0.1405156439537091
0.63,0.5902949173028968,-0.031994612633392275,-0.14845887635140398
0.64,0.6071555922620583,-0.03435829496410585,-0.15664644609105174
0.65,0.6237546521370022,-0.03680663978771485,-0.16504895761240465
0.66,0.639738880855944,-0.03928266994043819,-0.17347485603152948
0.67,0.6555373502313988,-0.04184858403113446,-0.1821391716616393
0.68,0.6711508312687424,-0.04450490361518835,-0.19104427480395708
0.6900000000000001,0.6865353684356014,-0.047243968950381306,-0.20016530012019898
0.7000000000000001,0.7012630008394586,-0.049983604762150094,-0.2092320580812581
0.71,0.7158203371209673,-0.052808821888846516,-0.21852882950079763
0.72,0.7302081461022253,-0.055719972218436935,-0.22805695153054387
0.73,0.7444272143019274,-0.058717379470099126,-0.23781751419895544
0.74,0.7580560328015071,-0.06170683978617131,-0.24750579951408727
0.75,0.7714801729492387,-0.06476691017113496,-0.2573784248013431
0.76,0.7847489936859681,-0.06790826506884987,-0.2674695628423591
0.77,0.7978632656434014,-0.07113109934334778,-0.2777791290130169
0.78,0.8106086436369706,-0.07437974179606745,-0.28812917126686205
0.79,0.8230421135153072,-0.07766338843710859,-0.2985497081512216
0.8,0.8353322631302702,-0.08102418114949013,-0.30917392194566823
0.81,0.8474798484760905,-0.0844622150191369,-0.3200005058682769
0.8200000000000001,0.8594558761638186,-0.08796870314783084,-0.3310000626984894
0.8300000000000001,0.8710247435112195,-0.09147006278119459,-0.34194125014528154
0.84,0.8824603219325594,-0.0950449901673165,-0.35306908841830437
0.85,0.8937633565837112,-0.09869350130037571,-0.36438101893746594
0.86,0.9049346033140742,-0.1024155948643743,-0.37587411998110704
0.87,0.9158597058171086,-0.10617105842647252,-0.38742176962679087
0.88,0.9265517955650461,-0.10996055830057906,-0.39902406173981136
0.89,0.9371195847337104,-0.11382059621342785,-0.41078980169201984
0.9,0.9475638229483626,-0.11775110807553671,-0.4227148049669386
0.91,0.9578852691281168,-0.12175201464074444,-0.4347945175572677
0.92,0.9679578102897963,-0.12577184214598755,-0.4468700739763138
0.93,0.9778889544287275,-0.1298504701607139,-0.4590578418704641
0.9400000000000001,0.9877031619902643,-0.13399710725918929,-0.47138049597466386
0.9500000000000001,0.9974011928324742,-0.13821162168356638,-0.4838322753976836
0.96,1.0069753648416284,-0.14249003921147024,-0.49639586922987616
0.97,1.0163590781330016,-0.14680050226816474,-0.5089728758096186
0.98,1.0256309678732445,-0.1511771653195358,-0.5216578112092551
0.99,1.0347918050208957,-0.15561984843181004,-0.5344437900513876
1.0,1.043842368083453,-0.16012835917006635,-0.5473236354946738
1.01,1.0527759575659126,-0.16469861226938412,-0.5602789375522506
1.02,1.061584641494812,-0.16932543675606956,-0.5732883832243276
1.03,1.0702860122604985,-0.1740170860475485,-0.5863682148983326
1.04,1.0788808709981603,-0.17877332111403507,-0.5995103193087075
1.05,1.087370025823724,-0.1835938912500695,-0.6127063836539872
1.06,1.0957704645885782,-0.1884880776987327,-0.6259736593682282
