Time,Position,Velocity,Acceleration
0,0,0,0
0.0109233178706,0.000162611952525,0.0171165363272,1.02694161618
0.0199718708186,0.000378490620494,0.0261463219251,0.96342060767
0.0299457157808,0.000702282510282,0.0356322099527,0.937973378236
0.040306151687,0.0011339563034,0.045289071175,0.926072198943
0.0498851801908,0.00161952278477,0.0541325754772,0.920230978341
0.0598512295665,0.00221289730541,0.0632859789701,0.916660735363
0.070060265148,0.00291402257377,0.0726328698025,0.914451297272
0.079775246655,0.00366891647179,0.0815104315167,0.913161224732
0.0897327085448,0.0045314441609,0.0905991402581,0.912368747175
0.0998659310552,0.00550152259897,0.0998420606717,0.911941096876
0.110129385569,0.00657905851116,0.109200779683,0.911789337027
0.120038055729,0.00771009888327,0.1182355255,0.91184681625
0.13008817412,0.00894842027213,0.127400632429,0.91206771558
0.13985690182,0.0102400951213,0.13631189167,0.912412454263
0.15013336766,0.011692636134,0.145690550216,0.912893450211
0.16013256363,0.0131983125338,0.1548214224,0.913464133163
0.169899769462,0.0147570531789,0.163746391844,0.914109961277
0.180020780114,0.0164635633116,0.173002484829,0.915029378572
0.19008117254,0.0182534202601,0.182211934053,0.915844265897
0.199964782819,0.0201019418309,0.191267917798,0.916721966192
0.209991568908,0.0220686112486,0.200464324998,0.917687602356
0.220141252153,0.0241532227237,0.209783689336,0.918740175423
0.230125368076,0.0262960550404,0.218961815027,0.919847970138
0.23996286134,0.0284969982811,0.228016313269,0.921008971467
0.249919943369,0.0308153654626,0.237192856318,0.92225398945
0.259981781418,0.0332509168177,0.246478892203,0.92358357659
0.269903638981,0.0357440630525,0.255649190356,0.924965347162
0.27992276235,0.0383539725503,0.264923654385,0.926432473116
0.290027772018,0.0410803783188,0.274292879634,0.92798609444
0.300000061756,0.0438638054457,0.283554806786,0.929593104539
0.310053054864,0.0467632642986,0.292908284012,0.931288522192
0.319982321448,0.0497193659496,0.302163748595,0.933038729892
0.329987346682,0.0527910101238,0.31150779217,0.934879844234
