Time,Position,Velocity,Acceleration
0,0,0,0
0.0110167048557,0.000118544227724,0.0125537286432,0.746639915988
0.0201422957167,0.000278212887437,0.0191739687626,0.700216340624
0.0302005508725,0.000517646192574,0.0261252819023,0.681370546916
0.0394605632699,0.000796879386638,0.0323980086127,0.673029541017
0.0503065075442,0.00119558662521,0.039668068931,0.667506862403
0.0603543035198,0.00163389656796,0.046359327354,0.664288067892
0.0699008351873,0.00211173279182,0.052690889967,0.662092819308
0.0797737312487,0.00266878648323,0.0592192237032,0.66031888918
0.0898752230456,0.003304863259,0.0658820841606,0.658808438854
0.100140929834,0.00401974121109,0.0726385492096,0.657456695647
0.110029161764,0.00477352147906,0.0791339398064,0.656253177953
0.120085761104,0.00560567627826,0.0857279691337,0.65507991688
0.129845243789,0.0064763652322,0.0921159879268,0.653959871456
0.14016345623,0.00746442918646,0.0988578164752,0.652772899737
0.15018549393,0.00849048786394,0.105394307329,0.651601442223
0.159962365187,0.00955436342279,0.111759443098,0.650430032857
0.169865087854,0.0106951778183,0.118194655822,0.649206536691
0.179871914644,0.0119125337979,0.124684991555,0.647925846809
0.189965106964,0.0132060076719,0.131218107994,0.646583641977
0.200130067801,0.0145751495076,0.137783705603,0.645176233535
0.210084749047,0.0159804883884,0.144199328976,0.643740200176
0.220113408753,0.0174606930502,0.150647872081,0.642232635418
0.229957671593,0.0189764297812,0.156962835616,0.640690762028
0.240112026962,0.020604893463,0.163460481698,0.639033475749
0.250082882977,0.0222679820911,0.169823992781,0.637337865668
0.260107976532,0.0240039384801,0.176204724058,0.635562746876
0.269968959913,0.0257737402694,0.182463293436,0.633746021165
0.280087181226,0.0276537137701,0.188866131778,0.631807155004
0.290042401738,0.0295664837723,0.195146299488,0.629823813479
0.300038213281,0.0315498099569,0.201431824223,0.627755045329
0.310068622022,0.0336030074861,0.207717920779,0.625599449271
0.319951513245,0.0356875302866,0.213890026688,0.623395789339
0.330041235564,0.037878452341,0.220168420917,0.621062580543
0.33991332195,0.0400846621606,0.226289087804,0.618737174336
0.349999390776,0.0423996752856,0.232517378987,0.616230158683
0.359966400904,0.0447489094875,0.238646873257,0.613664986962
0.369995953798,0.0471743879591,0.244788574785,0.610993891779
0.380080731758,0.0496751582928,0.250936618744,0.608215438363
0.390050222229,0.0522081113924,0.25698637471,0.605375658759
0.400071094319,0.0548147242245,0.263038307324,0.602426200925
0.409981981417,0.0574522038271,0.26899427296,0.599413659899
0.419940549706,0.0601616491773,0.274948338686,0.59628928659
0.429941111497,0.062942004644,0.280895704072,0.593051824356
0.439978415172,0.0657921896015,0.286831854322,0.589700068462
0.45004760404,0.0687110991593,0.292752534401,0.586232877468
0.460007550541,0.071656793779,0.29857411262,0.582698403819
0.469997301265,0.0746693454117,0.304377221723,0.579046962388
0.48001261942,0.0777475947177,0.310158025603,0.575277672575
0.490049559883,0.0808903609844,0.315912885249,0.57138976779
0.499980195524,0.0840564745456,0.321567841295,0.567432820038
0.510052428544,0.0873248738641,0.327262724256,0.563306161616
0.520017164461,0.0906146106934,0.332855361113,0.559110105203
