0.004614000000003671	,0.0	,0.0	,0.0	,0.0	,0.0	,0.01282286980199764	,0.0	,0.13398513993274289	,0.0	,0.7014042047303863
0.026018000000007646	,2.9244296991487505E-4	,0.0	,0.020234133484802973	,0.0	,0.7520489811699512	,0.014214820196410677	,0.0	,0.1410700119620571	,0.0	,0.701264688525779
0.04570700000000727	,8.76986862701625E-4	,0.0	,0.0350397147217593	,0.0	,0.7186654229000139	,0.017144758697509768	,0.006385526140747639	,0.15492792574779302	,0.5853398962352002	,0.7010448786746979
0.0659780000000012	,0.001752948251613	,0.0	,0.04953915171112845	,0.025826446280991736	,0.7095139043057112	,0.020420615991183763	,0.012238925103099641	,0.16908241300518884	,0.23945723027803645	,0.7008736608211901
0.08586400000000083	,0.002919303664875	,0.0012913223140495868	,0.06392984538402235	,0.06456611570247935	,0.7057503332520823	,0.023936004361614114	,0.017826260476253825	,0.1830584772859746	,0.2793667686577092	,0.7007419694207273
0.10632300000000328	,0.004326224365888953	,0.0030991735537190084	,0.07782489391091094	,0.10330578512396695	,0.7038885107983721	,0.02773788012817427	,0.023945723027803643	,0.19706098593949006	,0.305973127577491	,0.7006370646130424
0.12666099999999858	,0.006020704100827001	,0.005681818181818182	,0.09180950790172995	,0.1291322314049587	,0.7027943306543105	,0.031821565551495484	,0.03086337634694692	,0.2110691634798737	,0.35918584541705467	,0.7005522730018188
0.14621300000000303	,0.008000769596853514	,0.008135330578512397	,0.10583514272487626	,0.1162190082644628	,0.7021003079976105	,0.036182057432224524	,0.03911134761207929	,0.22506639110518975	,0.4390049221764002	,0.7004828418145449
0.1666969999999992	,0.0102900092470148	,0.010976239669421487	,0.1200250513260491	,0.14204545454545453	,0.7017545386707812	,0.04086368117875196	,0.03911134761207929	,0.23918435076369973	,0.4390049221764002	,0.7004247772429865
0.18659600000000864	,0.01282286980199764	,0.014204545454545454	,0.13398513993274289	,0.18078512396694213	,0.7014042047303863	,0.04576118943657923	,0.06092856192630038	,0.25311196180981005	,0.5454303578555274	,0.7003767403588068
0.21676399999999774	,0.017144758697509768	,0.022985537190082644	,0.15492792574779302	,0.24535123966942152	,0.7010448786746979	,0.053702606066277796	,0.07383264600239457	,0.2741963684894254	,0.6651589729945456	,0.700317458411661
0.24705400000000566	,0.02215495735565583	,0.027892561983471075	,0.17611626925959487	,0.24535123966942152	,0.7008034760896977	,0.06519087982841963	,0.10070506851137422	,0.30210467020519105	,0.6784621524544366	,0.7002756124715365
0.26665200000000766	,0.025814089383205077	,0.033961776859504134	,0.1901045110892612	,0.30991735537190085	,0.70068629136665	,0.06826605191575089	,0.1149394705334575	,0.3091479786155023	,0.7050685113742184	,0.7002620285190752
0.2863980000000055	,0.029757406333260513	,0.0409349173553719	,0.2041087182522213	,0.36157024793388426	,0.7005922272173984	,0.07457794987422714	,0.12997206332313424	,0.32312401616704084	,0.7449780497538911	,0.7002376561426562
0.30773700000000304	,0.03398006647233464	,0.04803719008264463	,0.2181102772940066	,0.36157024793388426	,0.7005156788879654	,0.08458639771661705	,0.1455367832912066	,0.3441234615705009	,0.758281229213782	,0.7002064675858711
0.3278240000000068	,0.03847690813577246	,0.055914256198347105	,0.23209410029141483	,0.38739669421487605	,0.7004526156826755	,0.09163804009164035	,0.16189969402687243	,0.3581804798258784	,0.7981907675934548	,0.7001885858049282
0.3483280000000093	,0.04329193452845267	,0.06443698347107438	,0.24618835947264772	,0.4132231404958678	,0.7003996024808086	,0.098957772001224	,0.1790607955301317	,0.3722108015650722	,0.8247971265132368	,0.7001727220502161
0.36894900000000064	,0.050967577526123055	,0.07295971074380166	,0.2671228341729177	,0.4132231404958678	,0.7003357907930816	,0.10651591923510936	,0.1964879606225888	,0.386163549456901	,0.8381003059731276	,0.7001692036194717
0.38849299999999687	,0.0564755186468499	,0.08199896694214875	,0.2811862836370042	,0.4648760330578512	,0.7003006839178808	,0.11440120737491537	,0.2141811893042437	,0.40020206186985197	,0.8247971265132368	,0.7001556450556544
0.40850000000000364	,0.062205090353289	,0.09142561983471074	,0.29510528035703537	,0.4777892561983471	,0.7002900863887616	,0.12254336476973439	,0.23200744978049753	,0.41419887817041195	,0.8514034854330186	,0.7001434801830921
0.4284230000000093	,0.06826605191575089	,0.10136880165289257	,0.3091479786155023	,0.49070247933884303	,0.7002620285190752	,0.13098015375902536	,0.2510309964081415	,0.42821982119308244	,0.9977384594918186	,0.7001324755854276
0.4486360000000076	,0.07457794987422714	,0.11182851239669421	,0.32312401616704084	,0.5165289256198348	,0.7002376561426562	,0.13528003912979839	,0.2510309964081415	,0.44216299914494556	,0.9977384594918186	,0.70012255935423
0.4688160000000039	,0.081183092972563	,0.12267561983471074	,0.3371295450736826	,0.5294421487603306	,0.7002162098955199	,0.1486422386276496	,0.28615139018225355	,0.4561788400164017	,0.8381003059731276	,0.7001205917883224
0.48900199999999927	,0.08807186227293971	,0.1337809917355372	,0.3511418619050079	,0.5552685950413223	,0.700197270896068	,0.15789657938965973	,0.30371158706930956	,0.47016508924581357	,0.8381003059731276	,0.7001118399533705
0.5091409999999996	,0.09523433039706901	,0.14488636363636365	,0.3651411542895386	,0.5552685950413223	,0.7001804866492778	,0.1674611766305279	,0.3216708793401623	,0.48419587697825295	,0.8647066648929094	,0.7001038198699098
0.5302230000000066	,0.10270887218782582	,0.15625	,0.37919971131707864	,0.5681818181818181	,0.7001654697590237	,0.17726924636933022	,0.3394971398164161	,0.4981736092137587	,0.8514034854330186	,0.7000965040835466
0.5406339999999972	,0.10651591923510936	,0.16761363636363635	,0.39317559645940137	,0.5681818181818181	,0.7001622492547153	,0.182295389109312	,0.3394971398164161	,0.5122206081748338	,0.8514034854330186	,0.7000950365693152
0.5603740000000101	,0.11440120737491537	,0.17884814049586778	,0.40020206186985186	,0.5681818181818181	,0.7001556450560911	,0.19252598950195313	,0.35719036849807106	,0.5191689371512261	,0.8514034854330186	,0.7000917205390788
0.5808800000000076	,0.12254336476973439	,0.18995351239669422	,0.4141988781704119	,0.5552685950413223	,0.7001378734935995	,0.20307982483072806	,0.37488359717972597	,0.5332089222462605	,0.8381003059731276	,0.7000854217448111
0.6004500000000093	,0.13098015375902533	,0.20105888429752067	,0.42821982119308233	,0.5552685950413223	,0.7001324755854276	,0.213886679851008	,0.392443794066782	,0.5472123461613512	,0.8514034854330186	,0.7000796311427221
0.6318780000000004	,0.14413279791346137	,0.21164772727272727	,0.44920587382496024	,0.5165289256198348	,0.7001179002814264	,0.224965185783656	,0.4266329652787016	,0.5612051853797483	,0.8780098443528004	,0.7000784155084246
0.6512469999999979	,0.15323586915979664	,0.2224948347107438	,0.4631740675207491	,0.5165289256198348	,0.7001161143963336	,0.23634722877890904	,0.44326193960356525	,0.5752270163078848	,0.8647066648929094	,0.7000731926533316
0.661681999999999	,0.1578965793896597	,0.23205061983471073	,0.47016508924581346	,0.5036157024793388	,0.7001077161619087	,0.247959198559936	,0.44326193960356525	,0.5891883213234202	,0.8647066648929094	,0.7000719784527424
0.6821740000000034	,0.16746117663052787	,0.24147727272727273	,0.48419587697825284	,0.4519628099173554	,0.7001038198699098	,0.25992231872274096	,0.45975788213383	,0.6032339896025732	,0.7981907675934548	,0.7000672586763453
0.703597000000002	,0.1772692463693302	,0.2509039256198347	,0.49817360921375853	,0.4519628099173554	,0.7000965040835466	,0.272131967287296	,0.49700678462152453	,0.6172396246209523	,1.1839829719302912	,0.7000628980623209
0.7238329999999991	,0.18740710817071196	,0.25955578512396693	,0.5122206081748337	,0.4648760330578512	,0.7000950365693152	,0.2846040328024259	,0.5136357589463881	,0.6312255111474797	,0.8114939470533457	,0.7000618041957002
0.743536000000006	,0.19780136952412497	,0.26859504132231404	,0.5262337098037091	,0.4648760330578512	,0.7000884861818044	,0.29738103145746403	,0.5294665425036583	,0.6452390596053923	,0.7848875881335639	,0.7000578679782461
0.7636680000000098	,0.2084589329609531	,0.27776342975206614	,0.5402244960618997	,0.4648760330578512	,0.7000824623701855	,0.3103851263901749	,0.5294665425036583	,0.6591958562872238	,0.7848875881335639	,0.7000568175633798
0.7833159999999992	,0.2193932490026479	,0.2865444214876033	,0.5542116460375998	,0.4390495867768595	,0.7000811778498394	,0.3237407182499622	,0.5448982306771318	,0.67322879138518	,0.7316748702940002	,0.7000532750388773
0.8038410000000056	,0.2306341465340808	,0.2950671487603306	,0.5682321753893488	,0.4132231404958678	,0.7000757470723884	,0.3442449579385516	,0.560729014234402	,0.6942211039099688	,0.7848875881335639	,0.7000506736431016
0.8243510000000072	,0.2421024775119234	,0.303202479338843	,0.5821885163043767	,0.4519628099173554	,0.7000707467885758	,0.35828844762385353	,0.5758946388186776	,0.7082399499275641	,0.758281229213782	,0.7000497147389222
0.844610000000003	,0.25389601563294095	,0.3122417355371901	,0.5961999848088871	,0.49070247933884303	,0.700069577109617	,0.3725911327169251	,0.6068910469602234	,0.7222379011127145	,0.7981907675934548	,0.7000468127799311
0.8649529999999999	,0.265985253666671	,0.32334710743801653	,0.6102289366568413	,0.49070247933884303	,0.7000650394086166	,0.38717620789362406	,0.6227218305174936	,0.7362382026566384	,0.7848875881335639	,0.7000459939018022
0.8849129999999974	,0.2783374423912246	,0.33354855371900827	,0.6312255111474795	,0.49070247933884303	,0.7000618041957002	,0.4020446853871924	,0.6385526140747638	,0.7502416674259524	,0.7848875881335639	,0.7000434685973003
0.9044240000000059	,0.29095293831605085	,0.3432334710743802	,0.6382273212911465	,0.5165289256198348	,0.7000598000454406	,0.4171925981126369	,0.6535852068644405	,0.7642444879472127	,0.7449780497538911	,0.7000411791979982
0.9247700000000094	,0.30384827182407276	,0.3536931818181818	,0.6522174334941553	,0.5294421487603306	,0.7000586840204226	,0.4325895214899213	,0.6682187042703206	,0.7782193328913748	,0.7183716908341093	,0.7000406863317796
