Time,Position,Velocity,Acceleration
0,0,0,0
0.0111066627494,0.000126999535052,0.0133181610955,0.785707474816
0.0203068282591,0.000297776458902,0.0203418200162,0.736881348611
0.0304473723573,0.000553874288876,0.0277171242839,0.717087370529
0.0397832549782,0.000852552643219,0.0343729217549,0.708353595474
0.049713440867,0.00123640558111,0.0413812798938,0.703014574105
0.059987591433,0.00170531158309,0.0485866388778,0.699520308411
0.0697158374756,0.00221653486259,0.0553808535958,0.697202778819
0.0797538732345,0.0028125525757,0.0623705317303,0.695376542423
0.090007568776,0.0034931759083,0.0694931894591,0.69385848779
0.0998630479199,0.00421570755603,0.0763255249913,0.692596485226
0.10992555476,0.00502247429908,0.083289127019,0.691425646462
0.120145489959,0.00591322031148,0.0903499568203,0.690304824172
0.130053043876,0.00684532065842,0.0971841860541,0.689249911364
0.140114441469,0.00786091845352,0.104113879639,0.688186934372
0.14991925602,0.00891745878415,0.110856524023,0.687143094223
0.159868704705,0.0100569483813,0.117688069873,0.686063893445
0.169936903799,0.0112790250815,0.124590073595,0.684942086329
0.180103024949,0.0125833002876,0.13154755489,0.683771579665
0.190047479576,0.0139273930636,0.138341607149,0.682584054683
0.200088934011,0.0153529824482,0.145189710805,0.681337462842
0.209937341184,0.0168178025061,0.151893752909,0.680064560366
0.219879293932,0.0183633522042,0.158648492887,0.678725622578
0.229901139651,0.0199891384828,0.165443753258,0.677317937179
0.239991217041,0.0216946423562,0.172270717188,0.675838915348
0.249908165045,0.023437861666,0.178965687782,0.674322208926
0.259892628326,0.0252598812457,0.185690718321,0.672729457116
0.269935314783,0.0271601180912,0.192438579668,0.671058384911
0.280028089668,0.0291379637226,0.199202827393,0.669306715769
0.289964610953,0.0311517422254,0.205844719485,0.667508955722
0.299951387407,0.0332420648165,0.212501830623,0.665626467014
0.309981627881,0.0354082603268,0.219168600307,0.66365697146
0.3200492723,0.0376496326474,0.225839957327,0.661598137717
0.329974466201,0.0399248941059,0.23239621915,0.659485455627
0.339937473055,0.0422741238647,0.238955948664,0.657279238098
0.349933065704,0.0446965646963,0.245514605135,0.654977018467
0.359956508668,0.0471914350618,0.252067970262,0.652576252004
0.370003498301,0.0497579293023,0.25861210632,0.650074312282
0.380070111166,0.0523952178376,0.265143319994,0.647468487822
0.390006504736,0.0550627084592,0.271563826602,0.644796074594
0.399963515354,0.0577995669597,0.277970509809,0.642014949333
0.409937594754,0.0606049056116,0.284359885034,0.63912218108
0.420060498936,0.0635170879168,0.290814531963,0.636073309759
0.430055721388,0.0664564683777,0.297156910333,0.632947595761
0.440059059021,0.0694615239333,0.303472570978,0.629700845157
0.449942748426,0.0724925026354,0.30968020209,0.626372660149
0.460018364473,0.0756466625098,0.315975116735,0.622878606423
0.470012258593,0.0788364749866,0.322182356402,0.619254666873
0.480044542802,0.0821007244736,0.328376341691,0.615481193287
0.48997781211,0.0853937691226,0.334471214233,0.611606572765
0.499946385728,0.0887591660301,0.340548350604,0.607575054758
0.509945830757,0.0921956218504,0.346603195562,0.603382117069
0.519971996356,0.0957018145067,0.352631357366,0.599023101723
0.530020991196,0.0992763936519,0.358628591787,0.594493217056
0.539970599377,0.102874748817,0.364520853559,0.589843950484
0.550057079929,0.106582187177,0.370446098219,0.584958243607
0.560042453374,0.110311067134,0.376262529789,0.579944590305
0.570042016202,0.114103177756,0.382036154119,0.574741357401
0.580052687113,0.117957049908,0.387763138588,0.569343210265
0.589964927921,0.121829232755,0.393379618705,0.563805349542
0.599991426927,0.125802390104,0.399003996823,0.55800187469
0.610020712914,0.129832757114,0.404570683627,0.551986917942
0.619950026831,0.13387763271,0.410021400828,0.545818211512
0.629979636505,0.138017980903,0.415463889367,0.539364135784
0.64000497892,0.142210776101,0.420838222673,0.532681372271
0.65002395983,0.14645299946,0.426139422062,0.525760218329
0.660034590604,0.150745760341,0.431367330449,0.518602570646
0.670034981731,0.155086009432,0.436517092764,0.511198815617
0.680023336887,0.159472055144,0.441585459288,0.503543208839
0.689997947522,0.163902187978,0.446569216779,0.495630083914
0.699957187915,0.168374681457,0.451465187194,0.487453885837
0.709983685032,0.172926205602,0.45631054734,0.478936485963
0.719988654589,0.177515940242,0.461058918964,0.470143200973
0.729970815396,0.182142102168,0.465707298693,0.46106903834
0.740008507402,0.186840314476,0.470288654139,0.451633266313
0.750018086812,0.191570672993,0.474761279003,0.441905368994
0.75999855976,0.196331350021,0.479122341974,0.431881440051
0.770024241433,0.201156893044,0.483400777803,0.421478721393
0.780016247673,0.206008370949,0.487559386908,0.410771571706
0.789963379449,0.21088037646,0.491593606795,0.399773706382
0.799987666047,0.215828654247,0.495544483002,0.388334028025
0.809992491963,0.220806225569,0.499371569474,0.376559232281
0.819976284983,0.225810897727,0.503071387124,0.364449158926
0.830014677549,0.230879553581,0.506667715584,0.351907104731
0.840026394783,0.235970052817,0.510127253402,0.339031200577
0.850010196846,0.241080191737,0.513446951945,0.325825618484
0.859964914463,0.246207772341,0.516623911476,0.312296289892
0.870033038622,0.251425232468,0.51969824477,0.298248193077
0.879994378894,0.256617106007,0.522598997043,0.28399365848
0.889990425727,0.26185369424,0.525362662821,0.269337089784
0.90001672553,0.267134839325,0.527988541584,0.254302696447
0.910002156836,0.272419861266,0.530452273228,0.239006910737
0.920011893933,0.277741658175,0.532767167275,0.223368775785
0.929977462792,0.28306220133,0.534914923687,0.207518310915
0.940025402238,0.288447576836,0.53691919629,0.191279802941
0.950024138612,0.293825748696,0.538750535048,0.174896989121
0.959973573871,0.299194756345,0.540409293239,0.158411192243
0.969994072548,0.304617953397,0.541913365661,0.141667017629
