Time,X,Y,Angle
0.0,0.0,-0.0,-3.1322576787204137
0.01,-0.003618057277861867,-3.895224981863791e-05,-3.1293957691527656
0.02,-0.00723337995422228,-8.820318025089689e-05,-3.126538830725961
0.03,-0.010845967554360793,-0.00014770878697113485,-3.123686920009284
0.04,-0.014455819603807655,-0.0002174251613325522,-3.1208400930327307
0.05,-0.018062935628353115,-0.00029730849027831814,-3.117998405283019
0.06,-0.021667315154056666,-0.0003873150562526979,-3.1151619116997487
0.07,-0.02526895770725641,-0.00048740123711217965,-3.1123306666717023
0.08,-0.02886786281457823,-0.0005975235060366004,-3.109504724033297
0.09,-0.032464030002945184,-0.0007176384314402741,-3.106684137061179
0.1,-0.03605745879958675,-0.0008477026768831179,-3.1038689584709602
0.11,-0.03964814873204809,-0.000987673000981779,-3.1010592404141084
0.12,-0.04323609932819937,-0.0011375062573207597,-3.0982550344749735
0.13,-0.04682131011624505,-0.00129715939436355,-3.0954563916679607
0.14,-0.05040378062473312,-0.001466589455363745,-3.09266336243485
0.15,-0.05398351038256438,-0.0016457535782761793,-3.0898759966422547
0.16,-0.05756049891900194,-0.0018346089956680547,-3.0870943435792255
0.17,-0.06113474576368015,-0.0020331130346300593,-3.0843184519549953
0.18,-0.06470625044661418,-0.0022412231166875018,-3.0815483698968635
0.19,-0.0682750124982091,-0.002458896757711434,-3.0787841449482243
0.2,-0.07184103144926937,-0.0026860915678297782,-3.0760258240667313
0.21,-0.07540430683100793,-0.0029227652513384573,-3.073273453622603
0.22,-0.07896483817505566,-0.0031688756066125174,-3.0705270793970634
0.23,-0.08252262501347057,-0.003424380526017257,-3.0677867465809223
0.24,-0.08642148768697672,-0.003715358832823692,-3.0647882735079324
0.25,-0.09509310552058274,-0.004403571004986148,-3.058136721602167
0.26,-0.10374833518116161,-0.005146704124408607,-3.0515223947849734
0.27,-0.11238716989077656,-0.005944153034863549,-3.0449458974682053
0.28,-0.1210096028893366,-0.006795315901018789,-3.0384078128141776
0.29,-0.12961562743540364,-0.007699594200708873,-3.0319087027222174
0.3,-0.13820523680700098,-0.008656392717206555,-3.0254491078412555
0.31,-0.14677842430242,-0.009665119531494206,-3.0190295476076834
0.32,-0.155335183241028,-0.010725186014535225,-3.0126505203076643
0.33,-0.16387550696407607,-0.0118360068195455,-3.006312503163056
0.34,-0.1731180622716204,-0.013097266684441077,-2.9994864274495523
0.35000000000000003,-0.1842873132600579,-0.014702937212936666,-2.991284354936754
0.36,-0.19542817039091037,-0.016392783476111623,-2.983155562627444
0.37,-0.20654061882379138,-0.018165512658077452,-2.975100918431696
0.38,-0.21762464379718027,-0.020019841581328114,-2.9671212302427943
0.39,-0.22868023063158036,-0.021954496676523928,-2.9592172468101907
0.4,-0.23970736473267598,-0.023968213952275386,-2.951389658695232
0.41000000000000003,-0.25070603159448945,-0.026059738964926957,-2.943639099303148
0.42,-0.2633935167746917,-0.028574597182608977,-2.93477026780615
0.43,-0.2764447502966228,-0.03127484874166653,-2.925728928956184
0.44,-0.28945535969133773,-0.03408006059813199,-2.9167997774663807
0.45,-0.302425321025563,-0.036988171216086954,-2.907983482405817
0.46,-0.31535461058084724,-0.03999713809797648,-2.8992806106721027
0.47000000000000003,-0.3282432048612076,-0.0431049377114091,-2.8906916303304824
0.48,-0.34210520984263215,-0.046567023586359585,-2.881551711270758
0.49,-0.3567126562754158,-0.050348067906894146,-2.872031380457937
0.5,-0.37126701525107697,-0.054249488825466735,-2.862660491109625
0.51,-0.385768253404904,-0.05826839926457621,-2.853439167601044
0.52,-0.4002163378189305,-0.06240194363813756,-2.844367398799113
0.53,-0.4147163022623811,-0.06667874660218835,-2.8353803503275667
0.54,-0.43030920249538873,-0.07141985237828131,-2.8258482018434856
0.55,-0.44583912902062844,-0.07628630226372475,-2.816491938880277
0.56,-0.46130604208724324,-0.08127458974321,-2.8073109203948112
0.5700000000000001,-0.4767099026763609,-0.08638125131317503,-2.798304365197287
0.58,-0.4920907793310038,-0.09161669383730321,-2.7894484481731054
0.59,-0.5082118400408214,-0.0972485080796276,-2.7803141990326847
0.6,-0.524262549200017,-0.10300065941135789,-2.7713707394669527
0.61,-0.5402428647372012,-0.10886928084471352,-2.7626165952301167
0.62,-0.5561527456316908,-0.11485055737823142,-2.7540501769736583
0.63,-0.5722415752041787,-0.1210376977382988,-2.74553900779026
0.64,-0.5889116647171825,-0.12759325033293611,-2.736881338286786
0.65,-0.605502874271472,-0.13426200598118723,-2.7284274070187666
0.66,-0.622015160834529,-0.14103970339867225,-2.720174905118882
0.67,-0.63844848287609,-0.14792214447322047,-2.712121442917629
0.68,-0.6555560123732511,-0.1552299817530835,-2.703906495125178
0.6900000000000001,-0.6728112614125668,-0.16274626753893215,-2.6957948722950427
0.7000000000000001,-0.6899775504915335,-0.17036615606813746,-2.687898344673289
0.71,-0.707054837971173,-0.17808494580835507,-2.6802137929734737
0.72,-0.7245908099993764,-0.1861521224452796,-2.672499824511319
0.73,-0.7425626582966386,-0.194565343373662,-2.6647795462107453
0.74,-0.7604336492100569,-0.20307457549898653,-2.657288007804218
0.75,-0.7782037437270969,-0.21167453950280632,-2.6500213330605766
0.76,-0.7964670927494483,-0.2206544292745151,-2.6427418121883113
0.77,-0.815198211877604,-0.2300097994593544,-2.6354737647825592
0.78,-0.8338144312295626,-0.23945046625557334,-2.628447889963784
0.79,-0.852315719272429,-0.24897050278929744,-2.6216595415059354
0.8,-0.8716079407896782,-0.25904014186248003,-2.6147860259020863
0.81,-0.8910637387342029,-0.26933889222830676,-2.608065061270909
0.8200000000000001,-0.9103890071029372,-0.27970765488436866,-2.6015976055463326
0.8300000000000001,-0.9298608858426687,-0.29029145230227604,-2.595289988246887
0.84,-0.9500893100517137,-0.30142726293343103,-2.588958115867367
0.85,-0.9701706516411814,-0.312619739536363,-2.582893604541056
0.86,-0.9901049149982675,-0.32386158797640535,-2.577090398392061
0.87,-1.0109513222638795,-0.3357531760838324,-2.571251547452495
0.88,-1.0317264646550646,-0.3477369597512696,-2.565665262794311
0.89,-1.0523369095388047,-0.35975195601080256,-2.5603515618901693
0.9,-1.0736830838448237,-0.3723232229689554,-2.5550867485496225
0.91,-1.0950926474581821,-0.3850566450902789,-2.5500490568112335
0.92,-1.1163186668689735,-0.3977989168654243,-2.5452935783975175
0.93,-1.1382993560803543,-0.4111123121072261,-2.5406189535284915
0.9400000000000001,-1.1602844470147005,-0.4245425918107341,-2.5361969653271568
0.9500000000000001,-1.1820737012965847,-0.4379599595187679,-2.532063934726205
0.96,-1.2047994240621973,-0.452060697817041,-2.528017436088302
0.97,-1.2272994334262064,-0.46612210163748635,-2.5242764769766675
0.98,-1.2499668979100556,-0.48038267642282934,-2.520774471142364
0.99,-1.273166592891283,-0.49506912819144794,-2.517467542168907
1.0,-1.2961171244115075,-0.5096811864098123,-2.514472377405426
1.01,-1.3197598266499768,-0.5248128569976417,-2.5116746698565566
1.02,-1.3433650665183103,-0.5399924863631888,-2.5091735003699447
1.03,-1.367163201547899,-0.5553606815657179,-2.506948363605839
1.04,-1.391400048889107,-0.5710701139208347,-2.504989493826896
1.05,-1.4154300905360957,-0.5866944512283634,-2.5033550801824855
1.06,-1.4400311726595427,-0.6027313404770497,-2.5020012218221885
1.07,-1.4643064731276179,-0.6185875348253463,-2.50098427346483
1.08,-1.4886651511568383,-0.6345204565166076,-2.5002848233565724
1.09,-1.5127358361407257,-0.6502776889684161,-2.4999121925051924
1.1,-1.5366057459382731,-0.665906862102297,-2.4998582112105496
1.11,-1.5601857090496802,-0.6813406361793232,-2.500116321064616
1.12,-1.583549332219013,-0.6966187190114028,-2.5006803083609532
1.1300000000000001,-1.606655656851202,-0.7117063294770098,-2.50154280202032
1.1400000000000001,-1.6295265964184038,-0.7266102800468021,-2.5026977929117002
1.1500000000000001,-1.6521735084854958,-0.7413308865342008,-2.504139550912801
1.16,-1.6745649769221311,-0.7558411675244845,-2.5058591711181073
1.17,-1.6967638562799308,-0.7701756582314666,-2.5078549122816964
1.18,-1.7186885595216188,-0.7842760251710139,-2.5101121352178932
1.19,-1.740447956226343,-0.7982069769732776,-2.5126348139420616
1.2,-1.761917905825085,-0.8118842859017429,-2.5154004628368583
1.21,-1.7832435671540554,-0.8253960242771401,-2.5184194058092624
1.22,-1.8042698219165059,-0.8386400692446537,-2.521660325187697
1.23,-1.8251647385028256,-0.8517188329747103,-2.5251390508244316
1.24,-1.8457570795217944,-0.8645222273531299,-2.5288158689409164
1.25,-1.8662215612715263,-0.8771564434174784,-2.5327095404080455
1.26,-1.8863881080761482,-0.8895145620555543,-2.5367739511771594
1.27,-1.9064199026148592,-0.9016952350122219,-2.5410264335829216
1.28,-1.926166683199624,-0.9136062359620896,-2.5454179510123485
1.29,-1.94576115119733,-0.9253274528400995,-2.5499584823976993
1.3,-1.9650916446828421,-0.9367923965225181,-2.5546006737437557
1.31,-1.9842420071644955,-0.9480519421639406,-2.559340227340566
1.32,-2.0031566842414446,-0.9590750208320076,-2.5641365282797355
